Ensembl,Entrez_Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,7105,708.6021696912338,-0.3812538874293165,0.10065443018703756,-3.7877506903656886,1.5201727263460657e-4,0.001283638122274795
ENSG00000000971,3075,5817.3528676523065,0.42640222466655814,0.08831337826267577,4.828285737165262,1.3771339882723115e-6,1.8214946104602518e-5
ENSG00000001167,4800,369.34280784523907,-0.5003640600395852,0.12087993050782286,-4.139347681104132,3.482947609146825e-5,3.4236957196128115e-4
ENSG00000002834,3927,7168.8257540356435,0.39664263826998486,0.09291916452008893,4.268684940491814,1.9662876384028972e-5,2.070574389318191e-4
ENSG00000003096,90293,377.97730097333374,-0.9409787687656456,0.14380082179398687,-6.54362580843744,6.004492646510865e-11,1.513971936102068e-9
ENSG00000003402,8837,2546.614196808638,1.19043257875728,0.12062121241918455,9.869181007899936,5.66250423384655e-23,4.815265392820075e-21
ENSG00000004059,381,1225.3542531808755,0.36658776154741446,0.08827741341729338,4.152679007647506,3.286055223656012e-5,3.255000196267614e-4
ENSG00000004487,23028,1237.7998770234442,-0.2995090690246201,0.08764601886193443,-3.417258112960336,6.325527684552699e-4,0.004516301508796675
ENSG00000004700,5965,1035.3305423271624,0.3685895219688945,0.10168997337426187,3.6246397726187816,2.8936449338343623e-4,0.0022760310151468534
ENSG00000004799,5166,914.3790140677145,2.6449311194760727,0.6285646377526779,4.20789042306382,2.577657994396014e-5,2.6328622279303874e-4
ENSG00000004866,7982,412.12904959809373,-0.5621081710047141,0.13617386309385784,-4.127871224577664,3.6613704986215926e-5,3.591250671879765e-4
ENSG00000004975,1856,991.984168983081,-0.3200578593062117,0.09753103331653283,-3.28160020890456,0.0010321984013323155,0.006886925528948551
ENSG00000005249,5577,298.0316029320609,0.6073776441173023,0.1808932055461928,3.357658693058003,7.860560743515758e-4,0.005456688066388221
ENSG00000005812,26224,1409.3194853289388,0.4688710082947475,0.11144077765412821,4.207355854514522,2.5837610695321407e-5,2.636108916894478e-4
ENSG00000006025,114881,160.2848131829451,-0.9491243145604671,0.17927959783992056,-5.294101091234842,1.1960326037191671e-7,1.937293421370094e-6
ENSG00000006062,9020,196.87853247825188,-0.6983237612863687,0.1965400255011375,-3.5530867542414515,3.8073887971363374e-4,0.0028900886414641638
ENSG00000006114,NA,995.8737179849873,-0.5132628856382614,0.09576053195540937,-5.359858337851139,8.3287235696386e-8,1.3800572473662195e-6
ENSG00000006118,54972,433.9359541135508,-0.5024971234968134,0.11953711521580815,-4.20369123505802,2.6259709279113805e-5,2.6761449343350126e-4
ENSG00000006283,8913,62.96025142427513,-1.4669077541306579,0.286728907404684,-5.116009290476914,3.120676958745183e-7,4.684393356557715e-6
ENSG00000006451,5898,1095.5166988586354,-0.5577109894867628,0.11739335960785122,-4.750788216214091,2.026252631655264e-6,2.6055122998203352e-5
ENSG00000006534,221,1142.489623421547,0.44924292266320204,0.11742078024901483,3.8259235010233312,1.3028274649917962e-4,0.0011168508577685259
ENSG00000006576,57157,1070.4252444221293,-0.4301903766395329,0.09676070192882363,-4.445920379494326,8.751636016154383e-6,9.960510991113082e-5
ENSG00000006607,9855,877.9420009421805,0.5979627064794415,0.11586528930386447,5.160844201676693,2.45838711959724e-7,3.7686907306206664e-6
ENSG00000006788,8735,10.25338008353017,3.2068503871134593,0.9050780538036106,3.5431755014239923,3.953395125182493e-4,0.002975858343081001
ENSG00000007237,8522,427.0132187547809,-1.4048505964849052,0.19009944392490313,-7.390082619283606,1.4673760805179884e-13,5.1768798394478075e-12
ENSG00000007866,7005,1619.4754890382853,0.595621264296853,0.08570586330535492,6.949597627583065,3.6632954081303996e-12,1.0721085976911501e-10
ENSG00000007944,29116,339.64368826459344,-0.4976397257183176,0.12407968918703507,-4.010646133777674,6.0552808030860876e-5,5.647418640353646e-4
ENSG00000008130,65220,1664.4737570209127,0.7761779222389549,0.12455473366023821,6.231621227308965,4.616325546145309e-10,1.0574728963901858e-8
ENSG00000008256,9265,3716.5773819761876,1.1834012947169257,0.10323036766946575,11.463693498661838,2.0076650088410082e-30,2.741983695408007e-28
ENSG00000008311,10157,721.942089206498,1.0957063547193575,0.10793343634852177,10.151686000075768,3.2568751865168125e-24,3.1066108921970953e-22
ENSG00000008441,4784,10802.264947450934,-0.32640613524102036,0.06954218208651711,-4.693642411665196,2.683830014605367e-6,3.371713414864499e-5
ENSG00000008513,6482,1568.490227268569,-0.5951381136412092,0.09702427891524629,-6.133909164747112,8.57454895132457e-10,1.9178904279712075e-8
ENSG00000008517,9235,182.66253064780918,-0.7489723539669906,0.1924375745802802,-3.8920276125935986,9.940992750217226e-5,8.793729995138182e-4
ENSG00000008710,5310,5426.474890637302,0.4803800158845684,0.12926146847377581,3.7163434823736856,2.0212675661241105e-4,0.0016503356740074939
ENSG00000008853,23221,558.50561056199615,0.5476926097568555,0.11955752857693776,4.580996414662452,4.6276577808964534e-06,5.5729735787575997e-5
ENSG00000009413,5980,7584.980976999635,1.0955606531548294,0.12606560902118666,8.690400670421612,3.6116346531223146e-18,2.0034015238919718e-16
ENSG00000010017,10048,1856.3445542923585,0.7208367453220321,0.1244828596810895,5.790650593734201,7.0114300605919514e-9,1.3784303285970743e-7
ENSG00000010256,7384,1795.2183000450343,0.472146054985797,0.09322863175880672,5.064388976632132,4.0971232672904946e-7,6.010003113320833e-6
ENSG00000010278,928,3881.3727001533716,0.5697017092230149,0.0963322485441207,5.913925168704936,3.340496962000737e-9,6.890443847934702e-8
